Numero_Facture,Date_vente,Numero_produit_vendu,Qte_vendu,Numero_point_vente
1111158703213,1970-04-09,0003531693444,5,25004265
1111197368497,1981-01-27,0002894887538,5,60005193
1111152299750,1981-01-12,0000126626962,4,21023597
1111131219182,1993-06-29,0001409350109,2,21023597
1111169336424,2016-03-28,0004047585339,1,16615180
1111157262247,2011-11-25,0002392864208,3,21023597
1111122074547,1999-11-15,0009721407105,5,12362221
1111127695259,2007-10-07,0003990446681,6,60005193
1111126269277,1984-04-26,0006178653116,6,12362221
1111141234533,1994-06-25,0004928775934,4,48874568
1111156798877,1984-01-22,0008935725197,6,14846071
1111135834640,2019-01-15,0005044804621,4,11307850
1111173583760,1983-08-04,0002643953675,2,16615180
1111126448542,1990-08-12,0005069053462,6,48874568
1111194828222,1996-08-04,0007859520307,1,16615180
1111184362996,1994-04-13,0003260718456,5,12362221
1111116416834,1973-10-17,0001409350109,3,14846071
1111188053517,2020-06-07,0001946548175,5,14846071
1111155167377,1982-06-02,0001510812688,5,11307850
1111181802303,2012-02-14,0001285311706,6,11307850
1111147552259,2013-07-11,0008345387879,2,14846071
1111185608611,1990-03-15,0001598801758,3,60005193
1111150327189,1989-08-05,0001859573363,3,11307850
1111123281920,2000-08-14,0002499813567,4,21023597
1111173147252,1973-08-21,0009885913702,1,11307850
1111172189208,2021-04-08,0008711679478,5,21023597
1111128916391,2004-05-03,0000008441065,3,11307850
1111124437005,1992-04-24,0005329006979,5,25004265
1111191407000,2012-11-13,0009704202529,4,14846071
1111129088349,2013-06-20,0000285143737,2,21023597
1111136019459,1981-10-18,0004676850198,6,11307850
1111120382316,1998-03-31,0004420948058,2,14846071
1111104503133,2016-11-25,0008980382741,3,12362221
1111184283918,2005-05-03,0005963941537,4,11307850
1111133063820,2000-06-27,0007316015544,1,11307850
1111112275114,2015-10-30,0008980382741,3,16615180
1111131362543,1978-09-28,0000008441065,4,48874568
1111140366990,2001-07-27,0009803372673,2,14846071
1111132091213,1995-09-13,0005329006979,3,60005193
1111148585614,1971-06-19,0004333559662,5,48874568
1111118457637,1985-05-17,0003724533342,5,11307850
1111160804403,1998-03-23,0007316015544,2,21023597
1111196558684,2016-09-20,0007665695138,2,11307850
1111136042112,1978-06-05,0005674791629,1,21023597
1111184861543,2001-01-10,0008280738590,1,11307850
1111195992953,1972-10-15,0003724533342,3,21023597
1111112132028,1998-10-18,0007316015544,3,25004265
1111138508111,1983-05-18,0002643953675,,25004265
1111169591854,2010-05-22,0009357695778,1,48874568
1111166977514,1976-06-18,0003653498644,5,11307850
1111171407211,1999-08-17,0003653498644,1,48874568
1111150791263,1984-09-13,0004692449871,5,25004265
